기준_년분기_코드,자치구_코드,자치구_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총_금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20213,11620,관악구,2771927.0,06,96343781000.0,29770535000.0,2181466000.0,1879696000.0,14006153000.0,2903311000.0,13508441000.0,2217067000.0,5342482000.0,4030287000.0,20504343000.0
20213,11320,도봉구,2785111.0,06,43090890000.0,14692843000.0,570025000.0,1168656000.0,5843426000.0,4686393000.0,2145193000.0,711851000.0,2416350000.0,1538305000.0,9317848000.0
20213,11545,금천구,2632285.0,06,105042039000.0,15912341000.0,11486385000.0,48130549000.0,7621683000.0,3531402000.0,1223522000.0,813296000.0,4462101000.0,1875404000.0,9985356000.0
20213,11590,동작구,3454170.0,07,148129505000.0,22865815000.0,739788000.0,1341978000.0,14851435000.0,80333102000.0,3985924000.0,1153261000.0,5504065000.0,2840125000.0,14514012000.0
20213,11350,노원구,3195375.0,07,101729334000.0,36566883000.0,1205272000.0,1844498000.0,14985174000.0,3707821000.0,7847913000.0,1413205000.0,11203281000.0,4122612000.0,18832675000.0
20213,11410,서대문구,3417706.0,07,119722920000.0,15074465000.0,985025000.0,987993000.0,77744385000.0,2692091000.0,2899265000.0,838312000.0,2980098000.0,2734246000.0,12787040000.0
20213,11650,서초구,4912401.0,09,520781246000.0,21967739000.0,3628800000.0,12096510000.0,62581319000.0,7366822000.0,12825222000.0,1939110000.0,196402679000.0,170857907000.0,31115138000.0
20213,11260,중랑구,2598785.0,06,56582018000.0,18155995000.0,906639000.0,1699683000.0,10467176000.0,4158467000.0,2545566000.0,1173259000.0,3481853000.0,2391032000.0,11602348000.0
20213,11290,성북구,3281773.0,07,67821028000.0,21558734000.0,1405531000.0,1380832000.0,8658562000.0,6119960000.0,3871763000.0,1030988000.0,5928550000.0,2568044000.0,15298064000.0
20213,11500,강서구,3160623.0,07,182233154000.0,33550571000.0,4679691000.0,2369380000.0,54969406000.0,17528126000.0,5719771000.0,1984394000.0,18065080000.0,17553591000.0,25813144000.0
20213,11710,송파구,3995905.0,08,170173659000.0,40450784000.0,5719630000.0,6270236000.0,34844535000.0,10806592000.0,9623146000.0,2407368000.0,22236703000.0,6967512000.0,30847153000.0
20213,11200,성동구,3734499.0,07,71492554000.0,19855605000.0,1893771000.0,1755442000.0,10582723000.0,7801404000.0,3627726000.0,1379305000.0,4144714000.0,3220760000.0,17231104000.0
20213,11305,강북구,2547460.0,06,50752089000.0,15173725000.0,1358237000.0,1431103000.0,8972685000.0,3860876000.0,1386341000.0,1280029000.0,2878195000.0,2406530000.0,12004368000.0
20213,11470,양천구,3796034.0,08,273871559000.0,28174390000.0,1066843000.0,1580789000.0,16612381000.0,6507662000.0,12179523000.0,1157813000.0,188743025000.0,3104707000.0,14744426000.0
20213,11110,종로구,3725859.0,07,314872242000.0,13043329000.0,10214278000.0,1427633000.0,18246124000.0,1028741000.0,5320226000.0,1566243000.0,166969369000.0,70380970000.0,26675329000.0
20213,11170,용산구,3971498.0,08,247057188000.0,133564330000.0,2094041000.0,20163363000.0,4649152000.0,3582886000.0,1203013000.0,1332988000.0,33764885000.0,28067696000.0,18634834000.0
20213,11230,동대문구,3030256.0,07,81240912000.0,27852972000.0,2043347000.0,1797865000.0,20590249000.0,6200838000.0,2372177000.0,842473000.0,3679206000.0,1968755000.0,13893030000.0
