기준_년분기_코드,자치구_코드_명,전체임대료
2025년 2분기,종로구,194758
2025년 2분기,중구,258149
2025년 2분기,용산구,128826
2025년 2분기,성동구,134516
2025년 2분기,광진구,115110
2025년 2분기,동대문구,100243
2025년 2분기,중랑구,88218
2025년 2분기,성북구,106163
2025년 2분기,강북구,95254
2025년 2분기,도봉구,92967
2025년 2분기,노원구,122572
2025년 2분기,은평구,101001
2025년 2분기,서대문구,133753
2025년 2분기,마포구,175914
2025년 2분기,양천구,120112
2025년 2분기,강서구,132556
2025년 2분기,구로구,160936
2025년 2분기,금천구,103414
2025년 2분기,영등포구,131865
2025년 2분기,동작구,131381
2025년 2분기,관악구,121002
2025년 2분기,서초구,143895
2025년 2분기,강남구,180958
2025년 2분기,송파구,134775
2025년 2분기,강동구,152759
