기준_년분기_코드,자치구_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20221,영등포구,109291932.0,53554252.0,55737680.0,13340230.0,16252632.0,21376328.0,18318282.0,17079336.0,22925122.0,27232492.0,22781281.0,13679480.0,13709758.0,18279961.0,13608960.0,15647811.0,15597009.0,15676765.0,15766243.0,15785440.0,15419516.0,15399146.0
20221,도봉구,66984664.0,31140588.0,35844075.0,10354402.0,8193754.0,8766852.0,9834100.0,10866878.0,18968677.0,18048216.0,13818193.0,7650477.0,7633529.0,10946513.0,8887738.0,9457853.0,9501350.0,9480704.0,9383335.0,9383734.0,9796818.0,9980871.0
20221,성동구,75380060.0,35900322.0,39479737.0,10318914.0,12633883.0,13628308.0,12246746.0,11022951.0,15529258.0,18322899.0,15733436.0,9547483.0,9628789.0,12876614.0,9270837.0,10800375.0,10804802.0,10866488.0,10944076.0,10925288.0,10579590.0,10459440.0
20221,마포구,113723531.0,52200752.0,61522779.0,15786733.0,22146137.0,22195838.0,19474631.0,14583276.0,19536918.0,28015359.0,23110389.0,14238973.0,14566441.0,19739205.0,14053165.0,16143068.0,16135256.0,16263698.0,16391725.0,16454582.0,16298038.0,16037162.0
20221,종로구,64579681.0,31689128.0,32890554.0,6860851.0,11763848.0,10101696.0,10601330.0,10701303.0,14550652.0,13509953.0,13314553.0,9740160.0,9862936.0,11222190.0,6929889.0,9420492.0,9436892.0,9477760.0,9679143.0,9648814.0,8674894.0,8241688.0
20221,서초구,98533121.0,47542155.0,50990968.0,16495574.0,13747166.0,17706862.0,18948654.0,13798070.0,17836798.0,22311898.0,20818579.0,13676732.0,13596856.0,16763522.0,11365535.0,14451579.0,14408427.0,14495226.0,14827282.0,14784233.0,13052082.0,12514294.0
20221,은평구,103625410.0,46846109.0,56779302.0,16849349.0,13429934.0,15692747.0,16486645.0,15582722.0,25584013.0,28907511.0,21367061.0,11399331.0,11307789.0,16666357.0,13977359.0,14615474.0,14631864.0,14665313.0,14509426.0,14542819.0,15225041.0,15435475.0
20221,관악구,133555800.0,65868406.0,67687394.0,14235610.0,31031670.0,25323051.0,19073622.0,16774865.0,27116980.0,36618063.0,27457789.0,14785157.0,14735930.0,21949047.0,18009812.0,18735221.0,18755492.0,18867957.0,18750795.0,18795975.0,19692507.0,19957854.0
20221,용산구,65112295.0,31122415.0,33989880.0,7931379.0,10194420.0,13073000.0,11279177.0,9288924.0,13345394.0,16788382.0,13708459.0,7970415.0,7913831.0,10592840.0,8138369.0,9277176.0,9268054.0,9325634.0,9363912.0,9374584.0,9251334.0,9251601.0
20221,강동구,110865619.0,52003856.0,58861762.0,18368882.0,13538550.0,17341142.0,17909192.0,16856844.0,26851009.0,30207198.0,22968509.0,12690838.0,12565570.0,17875685.0,14557817.0,15683129.0,15684904.0,15752993.0,15668099.0,15703151.0,16092512.0,16280831.0
